"","row","col"
"x1_neg",1,85.1138
"",1917,1
"",3152,1
"",38281,1
"",38282,1
"",51520,1
"",51521,1
"",53213,1
"",63270,1
"",64213,1
"",69191,1
"x1_neg",2,87.127
"",38366,1
"",56695,1
"x1_neg",3,89.15014286
"",3350,1
"",3351,1
"",3352,1
"",3353,1
"",3354,1
"",3355,1
"",3356,1
"",3357,1
"",13039,1
"",13040,1
"",13041,1
"",13042,1
"",21780,1
"",21781,1
"",21782,1
"",21783,1
"",25547,1
"",25548,1
"",25549,1
"",25550,1
"",32902,1
"",32903,1
"",32904,1
"",32905,1
"",42523,1
"",42524,1
"",42525,1
"",42526,1
"",46375,1
"",46376,1
"",46377,1
"",46378,1
"",64348,1
"",64349,1
"",64350,1
"",64351,1
"",64352,1
"",64353,1
"",64354,1
"",64355,1
"",64356,1
"",64357,1
"",64358,1
"",72373,1
"",72374,1
"",72375,1
"",72376,1
"",82370,1
"",82371,1
"",82372,1
"",82373,1
"",86737,1
"",86738,1
"",86739,1
"",86740,1
"",86741,1
"x1_neg",4,93.08971429
"",54432,3
"",54433,3
"x1_neg",5,95.07842857
"",3141,3
"",3142,3
"",3143,3
"",3144,3
"",3145,3
"",3146,3
"",12896,3
"",12897,3
"",21593,3
"",21594,3
"",25405,3
"",25406,3
"",32757,3
"",32758,3
"",42294,3
"",42295,3
"",42589,3
"",46232,3
"",46233,3
"",54339,3
"",54340,3
"",54341,3
"",54342,3
"",54343,3
"",54344,3
"",60505,3
"",69161,3
"",72225,3
"",72226,3
"",82148,3
"",82149,3
"",86575,3
"",86576,3
"x1_neg",6,101.0633333
"",1692,1
"",1693,1
"",11984,1
"",11985,1
"",24441,1
"",24442,1
"",31799,1
"",31800,1
"",40734,1
"",40735,1
"",45301,1
"",45302,1
"",54367,1
"",54368,1
"",63083,1
"",63084,1
"",71213,1
"",71214,1
"",80580,1
"",80581,1
"",85367,1
"",85368,1
"x1_neg",7,105.9605
"",13054,2
"",13055,2
"",64376,2
"",64377,2
"x1_neg",8,113.0427778
"",725,1
"",726,1
"",8801,1
"",8802,1
"",8803,1
"",8804,1
"",8805,1
"",8806,1
"",8807,1
"",8808,1
"",8809,1
"",8810,1
"",8811,1
"",8812,1
"",8813,1
"",8814,1
"",8815,1
"",8816,1
"",8817,1
"",8818,1
"",11405,1
"",11406,1
"",16658,1
"",16659,1
"",16660,1
"",16661,1
"",16662,1
"",16663,1
"",16664,1
"",16665,1
"",16666,1
"",16667,1
"",16668,1
"",19405,1
"",19406,1
"",20699,1
"",20700,1
"",20701,1
"",20702,1
"",20703,1
"",20704,1
"",20705,1
"",20706,1
"",20707,1
"",20708,1
"",20709,1
"",20710,1
"",20711,1
"",20712,1
"",20713,1
"",20714,1
"",23819,1
"",23820,1
"",29276,1
"",29277,1
"",29278,1
"",29279,1
"",29280,1
"",29281,1
"",29282,1
"",29283,1
"",29284,1
"",29285,1
"",29286,1
"",31184,1
"",31185,1
"",36618,1
"",36619,1
"",36620,1
"",36621,1
"",36622,1
"",36623,1
"",36624,1
"",36625,1
"",36626,1
"",36627,1
"",36628,1
"",39665,1
"",39666,1
"",41220,1
"",41221,1
"",41222,1
"",41223,1
"",41224,1
"",41225,1
"",41226,1
"",41227,1
"",41228,1
"",41229,1
"",41230,1
"",41231,1
