"","row","col"
"x1_pos",1,110.0911818
"",12955,3
"",12956,3
"",17504,3
"",17505,3
"",54390,3
"",54391,3
"",69235,3
"",69236,3
"x1_pos",2,113.09515
"",2194,1
"",2195,1
"",2196,1
"",2197,1
"",2198,1
"",2199,1
"",2200,1
"",2201,1
"",2202,1
"",2203,1
"",2204,1
"",2205,1
"",2206,1
"",2207,1
"",12270,1
"",12271,1
"",12272,1
"",12273,1
"",12274,1
"",12275,1
"",12276,1
"",12277,1
"",12278,1
"",12279,1
"",20523,1
"",20524,1
"",20525,1
"",20526,1
"",24759,1
"",24760,1
"",24761,1
"",24762,1
"",24763,1
"",24764,1
"",24765,1
"",24766,1
"",24767,1
"",24768,1
"",32103,1
"",32104,1
"",32105,1
"",32106,1
"",32107,1
"",32108,1
"",32109,1
"",32110,1
"",32111,1
"",32112,1
"",41022,1
"",41023,1
"",41024,1
"",41025,1
"",41026,1
"",41027,1
"",41028,1
"",41029,1
"",41030,1
"",41031,1
"",45592,1
"",45593,1
"",45594,1
"",45595,1
"",45596,1
"",45597,1
"",45598,1
"",45599,1
"",45600,1
"",45601,1
"",63191,1
"",63192,1
"",63193,1
"",63194,1
"",63195,1
"",63196,1
"",63197,1
"",63198,1
"",63199,1
"",63200,1
"",63201,1
"",63202,1
"",63203,1
"",63204,1
"",71544,1
"",71545,1
"",71546,1
"",71547,1
"",71548,1
"",71549,1
"",71550,1
"",71551,1
"",71552,1
"",71553,1
"",80889,1
"",80890,1
"",80891,1
"",80892,1
"",80893,1
"",80894,1
"",80895,1
"",80896,1
"",80897,1
"",80898,1
"",85799,1
"",85800,1
"",85801,1
"",85802,1
"",85803,1
"",85804,1
"",85805,1
"",85806,1
"",85807,1
"",85808,1
"",3350,3
"",3351,3
"",3352,3
"",3353,3
"",3354,3
"",3355,3
"",3356,3
"",3357,3
"",7820,3
"",7821,3
"",13039,3
"",13040,3
"",13041,3
"",13042,3
"",15998,3
"",15999,3
"",21780,3
"",21781,3
"",21782,3
"",21783,3
"",25547,3
"",25548,3
"",25549,3
"",25550,3
"",28593,3
"",28594,3
"",32902,3
"",32903,3
"",32904,3
"",32905,3
"",35930,3
"",35931,3
"",42523,3
"",42524,3
"",42525,3
"",42526,3
"",46375,3
"",46376,3
"",46377,3
"",46378,3
"",64348,3
"",64349,3
"",64350,3
"",64351,3
"",64352,3
"",64353,3
"",64354,3
"",64355,3
"",64356,3
"",64357,3
"",64358,3
"",66468,3
"",66469,3
"",72373,3
"",72374,3
"",72375,3
"",72376,3
"",75597,3
"",75598,3
"",82370,3
"",82371,3
"",82372,3
"",82373,3
"",86737,3
"",86738,3
"",86739,3
"",86740,3
"",86741,3
"",90348,3
"",90349,3
"x1_pos",3,116.0610952
"",8951,1
"",8952,1
"",8953,1
"",8954,1
"",8955,1
"",8956,1
"",8957,1
"",8958,1
"",10367,1
"",10368,1
"",10369,1
"",10370,1
"",10371,1
"",10372,1
"",10373,1
"",16743,1
"",16744,1
"",16745,1
"",16746,1
"",16747,1
"",16748,1
"",16749,1
"",16750,1
"",17674,1
"",17675,1
"",17676,1
"",17677,1
"",17678,1
"",20884,1
"",20885,1
