"","Compound name","Ions","Chemical_formula","Measured_mass","Caculated_mass","Mass_difference","Reaction_equation","Pathway"
"1","1-pentan-3-one","[M-H]-","H10 O1 C5 ","85.1138","85.06589294","0.04790706","1-penten-3-one + NADPH + H+  ->  1-pentan-3-one + NADP+","detoxification of reactive carbonyls in chloroplasts"
"2","trans-2-pentenol","[M-H]-","H10 C5 O1 ","85.1138","85.06589294","0.04790706","trans-2-pentenal + NADPH + H+  ->  trans-2-pentenol + NADP+","detoxification of reactive carbonyls in chloroplasts"
"3","3-methylbutanal","[M-H]-","H10 O1 C5 ","85.1138","85.06589294","0.04790706","3-methylbutanol + NAD+  <-->  3-methylbutanal + NADH + H+","leucine degradation III"
"4","3-methylbutanal","[M-H]-","H10 O1 C5 ","85.1138","85.06589294","0.04790706","4-methyl-2-oxopentanoate + H+  ->  3-methylbutanal + CO2","leucine degradation III"
"5","3-methylbutanal","[M-H]-","H10 O1 C5 ","85.1138","85.06589294","0.04790706","3-methylbutanol + NAD+  <-->  3-methylbutanal + NADH + H+","leucine degradation III"
"6","3-methylbutanal","[M-H]-","H10 O1 C5 ","85.1138","85.06589294","0.04790706","4-methyl-2-oxopentanoate + H+  ->  3-methylbutanal + CO2","leucine degradation III"
"7","1-pentan-3-one","[M-H]-","H10 O1 C5 ","85.1138","85.06589294","0.04790706","1-penten-3-one + NADPH + H+  ->  1-pentan-3-one + NADP+","detoxification of reactive carbonyls in chloroplasts"
"8","methylbutenol","[M-H]-","H10 O1 C5 ","85.1138","85.06589294","0.04790706","dimethylallyl diphosphate + H2O  ->  methylbutenol + diphosphate","methylbutenol biosynthesis"
"9","trans-2-pentenol","[M-H]-","H10 C5 O1 ","85.1138","85.06589294","0.04790706","trans-2-pentenal + NADPH + H+  ->  trans-2-pentenol + NADP+","detoxification of reactive carbonyls in chloroplasts"
"10","piperidine","[M-H]-","H12 C5 N1 ","85.1138","85.08970239","0.0240976099999983","piperidine + (E,E)-piperoyl-CoA  ->  piperine + coenzyme A + H+","piperine biosynthesis"
"11","3-methylbutanol","[M-H]-","H12 O1 C5 ","87.127","87.081543","0.045456999999999","3-methylbutanol + NAD+  <-->  3-methylbutanal + NADH + H+","leucine degradation III"
"12","3-methylbutanol","[M-H]-","H12 O1 C5 ","87.127","87.081543","0.045456999999999","3-methylbutanol + NAD+  <-->  3-methylbutanal + NADH + H+","leucine degradation III"
"13","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"14","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + oxygen + H2O  ->  ammonia + hydrogen peroxide + 4-aminobutanal + H+","putrescine degradation IV"
"15","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
"16","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","spermidine + oxygen + H2O  ->  putrescine + 3-aminopropanal + hydrogen peroxide","spermine and spermidine degradation III"
"17","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"18","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis I"
"19","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  ammonia + CO2 + putrescine","superpathway of polyamine biosynthesis"
"20","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  ammonia + CO2 + putrescine","putrescine biosynthesis II"
"21","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","putrescine + S-adenosyl-L-methioninamine  ->  spermidine + S-methyl-5'-thioadenosine + H+","spermidine biosynthesis I"
"22","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","agmatine + H2O  ->  urea + putrescine","putrescine biosynthesis IV"
"23","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","N-carbamoylputrescine + H2O + H+  ->  putrescine + CO2 + ammonia","putrescine biosynthesis II"
"24","putrescine","[M-H]-","H14 C4 N2 ","89.15014286","89.10842646","0.0417163999999985","L-ornithine + H+  ->  CO2 + putrescine","putrescine biosynthesis IV"
